"Ciudad","Martes","Miércoles","Jueves","Viernes","Sábado","Domingo","Lunes"
"Tumbes",27,30,30,30,29,29,28
"Piura",35,36,35,35,34,34,35
"Chiclayo",28,28,29,30,29,29,28
"Trujillo",25,25,26,25,26,26,27
"Cajamarca",19,19,20,20,21,20,20
"Chachapoyas",20,21,21,20,19,20,19
"Tarapoto",30,31,30,30,30,30,31
"Iquitos",26,30,30,31,30,30,31
