"Ciudad","Martes","Miércoles","Jueves","Viernes","Sábado","Domingo","Lunes"
"Huaraz",1,1,1,1,0,1,1
"Lima",0,0,0,0,0,0,0
"Ica",0,0,1,0,0,0,0
"Huanuco",0,1,1,1,1,1,1
"Cerro de Pasco",2,0,1,1,1,0,1
"Huancayo",1,0,1,1,1,0,1
"Huancavelica",1,1,0,1,1,1,1
"Pucallpa",3,1,2,1,1,0,0
