"Ciudad","Martes","Miércoles","Jueves","Viernes","Sábado","Domingo","Lunes"
"Huaraz",9,7,5,8,7,7,8
"Lima",21,22,22,22,21,21,22
"Ica",18,19,17,18,17,17,18
"Huanuco",16,13,15,15,15,15,14
"Cerro de Pasco",-1,2,3,2,3,2,3
"Huancayo",8,9,8,9,8,9,8
"Huancavelica",6,8,8,8,8,8,8
"Pucallpa",23,20,22,22,22,20,22
