"Ciudad","Martes","Miércoles","Jueves","Viernes","Sábado","Domingo","Lunes"
"Arequipa",22,21,20,19,18,19,20
"Ilo",29,26,26,25,26,26,26
"Tacna",28,27,27,27,26,28,26
"Ayacucho",30,29,29,28,29,28,27
"Abancay",22,24,22,20,19,20,21
"Cusco",23,22,21,19,19,18,18
"Puno",19,19,20,20,18,18,19
"Puerto Maldonado",29,32,31,30,29,32,31
