"Ciudad","Martes","Miércoles","Jueves","Viernes","Sábado","Domingo","Lunes"
"Arequipa",0,0,0,1,0,0,0
"Ilo",0,0,0,0,0,0,0
"Tacna",0,0,0,0,0,0,0
"Ayacucho",1,1,1,0,1,0,1
"Abancay",0,1,1,0,1,1,1
"Cusco",1,1,1,0,1,1,1
"Puno",0,0,1,1,0,1,1
"Puerto Maldonado",2,0,1,0,1,1,0
