"Ciudad","Martes","Miércoles","Jueves","Viernes","Sábado","Domingo","Lunes"
"Arequipa",10,11,10,11,13,13,12
"Ilo",21,20,21,21,20,20,22
"Tacna",17,17,19,18,19,19,17
"Ayacucho",8,12,11,12,12,13,13
"Abancay",9,10,9,9,7,9,8
"Cusco",5,5,7,7,9,8,8
"Puno",0,3,5,1,3,4,3
"Puerto Maldonado",23,23,23,23,23,24,24
