"Ciudad","Martes","Miércoles","Jueves","Viernes","Sábado","Domingo","Lunes"
"Huaraz",20,20,19,20,21,21,21
"Lima",28,28,28,28,28,28,27
"Ica",32,33,28,32,32,32,30
"Huanuco",21,28,24,26,27,27,26
"Cerro de Pasco",9,13,10,9,9,10,9
"Huancayo",22,24,25,24,24,23,22
"Huancavelica",22,24,23,24,24,22,23
"Pucallpa",28,33,31,33,32,31,32
