"Ciudad","Martes","Miércoles","Jueves","Viernes","Sábado","Domingo","Lunes"
"Tumbes",1,0,0,0,0,0,0
"Piura",0,0,0,0,0,0,0
"Chiclayo",0,0,0,0,0,0,0
"Trujillo",0,0,0,0,0,0,0
"Cajamarca",1,0,0,0,0,0,1
"Chachapoyas",1,0,0,2,1,1,1
"Tarapoto",2,0,0,1,0,0,2
"Iquitos",3,0,0,1,0,1,1
